City,Latitude,Longitude
Not defined,,
Berlin,52.510885,13.3989367
Lahnstein,50.3090305,7.6044602
Crailsheim,49.1365626,10.0720195
Prenzlau,53.3167,13.866575
Dortmund,51.5142273,7.4652789
Stuttgart,48.7784485,9.1800132
München,48.1371079,11.5753822
Wien,48.2083537,16.3725042
Offenbach am Main,50.1055002,8.7610698
Eberbach,48.9273858,8.066278
Görlitz,51.1563185,14.991018
Pfedelbach,49.1781,9.505
Unterhaching,48.0662249,11.6102245
Hildburghausen,50.4266327,10.7300263
Sonneberg,50.3575412,11.1691714
Düsseldorf,51.2254018,6.7763137
Unknown,26.492533,92.3308789
Pirmasens,49.1996961,7.6087847
Lutherstadt Wittenberg,51.8666527,12.646761
Gommern,52.0739555,11.8307231
Rüdesheim am Rhein,49.9789358,7.92339
Dresden,51.0493286,13.7381437
Passau,48.5748229,13.4609744
Leipzig,51.3406321,12.3747329
Bielefeld,52.0191005,8.531007
Karlsruhe,49.0068705,8.4034195
Hamm,51.681281,7.8191185
Wermelskirchen,51.1406481,7.2156901
Gummersbach,51.0277658,7.5630545
Waldbronn,48.9249963,8.4683096
Kassel,51.3157833,9.4978479
Wenzenbach,49.0768866,12.1980173
Duisburg,51.434999,6.759562
Witzeeze,53.4515894,10.6090961
Leinfelden-Echterdingen,48.6901796,9.1525725
Kerpen,50.3008642,6.7397609
Ahrensburg,53.6736529,10.2358999
Schwandorf,49.3261854,12.1092708
Merseburg,51.3564413,11.996148
Dabrowa Gornicza,50.369624,19.2890465
Pommelsbrunn,49.5046383,11.5078943
Regensburg,49.0195333,12.0974869
Herzogenrath,50.8684545,6.0950514
Mainz,49.9995205,8.2736253
Podskalie,49.0444247,18.4544481
Zinnowitz,54.076647,13.9089471
Quedlinburg,51.7855428,11.1519933
Gdansk,54.3482907,18.6540233
Wolfsburg,52.4205588,10.7861682
Bochum,51.4818111,7.2196635
Weilburg,50.4847448,8.2659245
Weingarten,47.8075299,9.6431145
Wiesbaden,50.0820384,8.2416556
Dillenburg,50.75211,8.31573
Neu-Ulm,48.3953489,10.0005211
Celle,52.624056,10.081052
Neu Wulmstorf,53.4682413,9.7916569
Marburg,50.8090106,8.7704695
Lauter-Bernsbach,50.5614644,12.728134
Bonn,50.7352621,7.1024635
Riedstadt,49.8425212,8.4829447
Rosenheim,47.8539273,12.127262
Herford,52.1152245,8.6711118
Mönchengladbach,51.1947131,6.4353792
Neuburg,49.0231964,6.0436493
Rostock,54.0886707,12.1400211
Bad Oeynhausen,52.2014399,8.7981244
Chemnitz,50.8323531,12.918914
Diez,50.3694175,8.0174521
Leutershausen,49.2992825,10.4117748
Nürnberg,49.453872,11.077298
Korschenbroich,51.1902651,6.5143539
Laubach,48.8823201,7.7203596
Teublitz,49.2211907,12.085254
Düren,50.8031684,6.4820806
Zwickau,50.7185043,12.4939267
Bremen,53.0758196,8.8071646
Schiltach,48.2901774,8.3436346
Halle,51.4824354,11.9712985
Cloppenburg,52.8461339,8.0438783
Hannover,52.3744779,9.7385532
Weißenburg in Bayern,49.0305748,10.9718974
Erbach,48.3274603,9.8913803
Leonberg,48.8012983,9.0150026
Mannheim,49.4892913,8.4673098
Jünkerath,50.3472096,6.5720946
Essen,51.4582235,7.0158171
Osterode am Harz,51.72784,10.2508204
Villingen‑Schwenningen,48.063152,8.4929618
Königsmoos,48.666702,11.2161655
Bad Wildungen,51.1029078,9.0940685
Magdeburg,52.1315889,11.6399609
Germering,48.1373576,11.3614338
Kleve,51.7895571,6.1376008
Garmisch-Partenkirchen,47.4923741,11.0962815
Hof,50.3219015,11.9178807
Lünen,51.6142482,7.5228088
Murr,48.9613131,9.4616885
Bad Homburg vor der Höhe,50.2363508,8.5980265
Kiel,54.3227085,10.135555
Theres,50.0242849,10.4286001
Lüchow,53.6893717,10.5322354
Stolberg,50.7702908,6.2295504
Bautzen,51.1813907,14.4275735
Weiden,46.0634632,13.2358377
Göppingen,48.7031377,9.6541116
Ansbach,49.2888745,10.5597693
Aachen,50.776351,6.083862
Menden,51.43779,7.7953822
Iserlohn,51.3746778,7.6999713
Aying,47.9699535,11.778769
Hamburg,53.550341,10.000654
Einhausen,50.5301473,10.4633497
Minden,52.2881045,8.9168852
Igalo,42.4587283,18.5106652
Süßen,48.6826604,9.7586073
Flensburg,54.7833021,9.4333264
Tönning,54.3188928,8.9437049
Aschaffenburg,49.9706701,9.1384857
Holzwickede,51.5007037,7.6186433
Ochtrup,52.2102308,7.188806
Klosterlechfeld,48.1588074,10.8309762
Straubing,48.8839157,12.5955773
Augsburg,48.3690341,10.8979522
Rheine,52.2797707,7.4373615
Singen,47.7617515,8.8348709
Werl,51.5533457,7.9155558
Schweinfurt,50.0518552,10.2220921
Ditzingen,48.8263983,9.0658446
Frankfurt,50.1106444,8.6820917
Bad Wildbad im Schwarzwald,,
Weil am Rhein,47.5932802,7.6116133
Osnabrück,52.2719595,8.047635
Lierschied,50.1694017,7.7454526
Eggenfelden,48.4031909,12.7626208
Trebgast,50.0679558,11.5515384
Verl,51.8830037,8.5093149
Wesel,51.6576909,6.617087
Frammersbach,50.0638687,9.4706391
Grevesmühlen,53.8644705,11.1898839
Perleberg,53.075548,11.8212016
Michelfeld,49.0968691,9.6771416
Stralsund,54.3096314,13.0820846
Zeitz,51.0491637,12.1349991
Novi Sad,45.2551338,19.8451756
Münster,51.9625101,7.6251879
Helmstedt,52.2089226,11.0028882
Krefeld,51.3331205,6.5623343
Rastatt,48.8574209,8.2088088
Detmold,51.936284,8.8791526
Weinstadt,48.8085568,9.3774813
Friedrichshafen,47.6500279,9.4800858
Wächtersbach,50.2724,9.2857
Solingen,51.1721629,7.0845893
Worms,49.6302618,8.3620898
Schlangen,51.8097549,8.8447903
Schwarzenberg,47.4137551,9.852372
Ludwigsburg,48.8953937,9.1895147
Büchen,53.4833029,10.6166958
Remscheid,51.1798706,7.1943544
Kulmbach,50.1008448,11.4479149
Burghausen,48.1588645,12.8329419
Meinerzhagen,51.1063495,7.6408956
Torgau,51.5581272,13.0046538
Coesfeld,51.9458943,7.1691108
Hartmannsdorf,50.9621391,11.9827889
Adelschlag,48.8403472,11.22192
Eisenberg,50.9691346,11.8961116
Kehl,48.5728929,7.8109768
Delbrück,51.7649178,8.5594953
Kempten,47.7267063,10.3168835
Oranienburg,52.7529379,13.2457591
Siegen,50.8751175,8.0256131
Castrop-Rauxel,51.5646195,7.3106175
Kalkar,51.7388793,6.2927546
Würzburg,49.7780356,9.9434769
Molsberg,50.4820761,7.9671127
Rust,47.8037042,16.6890143
Bad Hersfeld,50.8604177,9.6767709
Südlohn,51.9446284,6.8657729
Erfurt,50.9777974,11.0287364
Wiesenttal,49.8262776,11.2397314
Altenstadt,47.823657,10.8734632
Sankt Leon-Rot,49.2671326,8.6142616
Friedrichsdorf,49.016435,20.9655448
Heinsberg,51.0654268,6.0984461
Darmstadt,49.8851869,8.6736295
Ruhla,50.8941173,10.3814517
Bad Nauheim,50.3681107,8.7473608
Bärnau,49.8109931,12.4304633
Erftstadt,50.8027168,6.8031625
Arnsberg,51.4002384,8.0605908
Pullach im Isartal,48.0556122,11.5217455
Gelnhausen,50.2043672,9.1997516
Liederbach am Taunus,50.1230468,8.4878708
Gröditz,51.4121605,13.4473168
Trier,49.7596208,6.6441878
Buxtehude,53.4767351,9.7003941
Uelzen,52.9840679,10.5385882
Aldenhoven,50.8962734,6.2827943
Friedenweiler,47.917078,8.2571947
Neuss,51.1981778,6.6916476
Pforzheim,48.890934,8.7025509
Königswinter,50.6739719,7.1930989
Northeim,51.7643823,9.8583289
Rohrdorf,47.7990707,12.1675812
Filderstadt,48.6664,9.2199647
Übelbach,47.226439,15.2341951
Fürth,49.4885711,10.9587203
Warszawa,52.2319581,21.0067249
Markdorf,47.7206084,9.3917257
Piatek,52.0689883,19.4799726
Mülheim an der Ruhr,51.4272925,6.8829192
Erkner,52.4259804,13.7542811
Monschau,50.5544687,6.2407954
Bad Segeberg,53.9422672,10.3137943
Lauf an der Pegnitz,49.5118126,11.2813381
Oberasbach,49.4303112,10.967555
Naumburg,51.1525648,11.8099186
Wandlitz,52.7537935,13.4519809
Witten,51.4370171,7.335124
Obernheim,48.1628786,8.8605489
Wilhelmshaven,53.5278793,8.106301
Heimbuchenthal,49.8835255,9.291592
Weiterstadt,49.9178,8.5924
Braunfels,50.5017248,8.4012818
Salzwedel,52.8528456,11.1539699
Rechitsa,51.6954541,35.4331597
Freiburg,47.9960901,7.8494005
Leer,53.2050927,7.459464
Höhenkirchen-Siegertsbrunn,48.0201651,11.7170264
Coburg,50.2582226,10.964561
Wolfenbüttel,52.1625283,10.5348215
Niederorschel,51.370347,10.4279187
Vierden,53.3281242,9.503324
Ostbevern,52.0362198,7.8400336
Oldenburg,53.1389753,8.2146017
Bad Pyrmont,51.9850503,9.2434635
Stelle,53.3828216,10.1156284
Wadgassen,49.2634657,6.7922183
Leingarten,49.1434266,9.1240565
Obermarchtal,48.2327187,9.5692149
Güglingen,49.0668087,8.9999838
Linz,48.3059078,14.286198
Sankt Ingbert,49.2788378,7.1156707
Staufen im Breisgau,47.883211,7.7329262
Baku,40.3755885,49.8328009
Erlensee,50.1624394,8.9846455
Erkrath,51.2209866,6.9056079
Kornwestheim,48.8611498,9.1873875
Rees,51.7581242,6.3956605
Schwerin,53.6288297,11.4148038
Słupsk,54.463577,17.020948
Reutlingen,48.4919508,9.2114144
Köln,50.938361,6.959974
Gdańsk,54.4288032,18.798327
Allendorf,50.2679502,7.9982619
Gladenbach,50.78141,8.57886
Euskirchen,50.6612623,6.7871219
Gerlingen,48.7983947,9.0624386
Lübeck,53.866444,10.684738
Büren,51.5525333,8.5591919
Ganderkesee,53.0344984,8.5451469
Ohrdruf,50.8270085,10.7319499
Beverungen,51.6676535,9.3759072
Usingen,50.350795,8.5231684
Geilenkirchen,50.963605,6.1199802
Leichlingen,51.1059639,7.0140304
Veldenz,49.8893712,7.0231881
Duschanbe,38.5856814,68.760331
Ahad Al Masarihah,16.7514615,42.8626915
Werder,52.3715809,12.9329125
Morsbach,49.1672234,6.865618
Herdecke,51.4001119,7.4330062
Gießen,50.5808795,8.6938161
Seevetal,53.3965903,10.0176952
Stendal,52.6050782,11.8594279
Meerbusch,51.2652237,6.6760958
Obergünzburg,47.8458763,10.4192911
Eggolsheim,49.7721617,11.0535303
Limbach-Oberfrohna,50.8608138,12.7545462
Kraichtal,49.1319246,8.7375729
Rathenow,52.6063703,12.3382259
Śrem,52.0893322,17.0156809
Mülheim-Kärlich,50.3868869,7.4975336
Babenhausen,49.9562183,8.9460279
Heidenheim,48.6767637,10.152923
Rotterdam,51.9244424,4.47775
Cremlingen,52.2467665,10.6537261
Hörstel,52.2973664,7.5862462
Rinteln,52.1873798,9.0804584
Gütersloh,51.9063997,8.3782078
Röttingen,49.511308,9.970905
Blankenfelde,52.3384429,13.4153952
Eppelborn,49.4073926,6.9644654
Bayreuth,49.9449711,11.5734327
Ajman,25.5091287,55.3619072
Emsdetten,52.174687,7.5301756
Hagen,51.3582945,7.473296
Binzen,47.6312281,7.6243455
Erlangen,49.5891571,10.9812072
Mainaschaff,49.981916,9.0857089
Hennef,50.7754417,7.2847945
Velden,46.6151882,14.0450583
Runkel,50.42497,8.16703
Mettmann,51.2527778,6.9777778
Burbach,48.9009773,7.1122271
Gdynia,54.5233304,18.6040279
Pyrbaum,49.2983403,11.2896933
Rötgesbüttel,52.4150907,10.5296465
Parchim,53.4258455,11.8475244
Cheremkhovo,53.148434,103.070145
Randersacker,49.760046,9.9803941
Erding,48.3064441,11.9076579
Zorneding,48.0848806,11.8276735
Kressbronn am Bodensee,47.5965788,9.6003273
Essing,48.9337528,11.7904264
Offenbach,50.1055002,8.7610698
Hösbach,50.0049158,9.200966
Rudolstadt,50.7206063,11.3401985
Illingen,49.3292,6.18045
Lindau (Bodensee),47.550753,9.6926624
Mainz-Kostheim,50.0051896,8.3038698
Borken,51.8444777,6.8583277
Mainz-Kastel,50.0083449,8.2844378
Nesselwang,47.6218885,10.5003482
Braunschweig,52.2646577,10.5236066
Zoetermeer,52.0622891,4.4877545
Speyer,49.3165553,8.433615
Karlsfeld,48.2266316,11.4676387
Villingen-Schwenningen,48.063152,8.4929618
Achberg,47.6233193,9.7141877
Nuenchritz,51.3020569,13.3850546
Aalen,48.8375607,10.0929593
Esslingen am Neckar,48.7427584,9.3071685
Großrosseln,49.2038888,6.83536
Kirchlauter,50.0432008,10.7192456
Elze,52.1190302,9.7369863
Ingolstadt,48.7630165,11.4250395
Duderstadt,51.5123672,10.2610699
Jindrichuv Hradec,49.1443265,15.003354
Haldensleben,52.2911243,11.4132719
Limeshain,50.2640969,8.9819962
Kirchlinteln,52.9255206,9.3782295
Twistringen,52.7992604,8.6421452
Obergriesbach,48.4211698,11.0660623
Oelde,51.8260823,8.1453352
Amberg,49.4543662,11.8474021
Paderborn,51.7177044,8.752653
Remchingen,48.9430357,8.5752736
Murom,55.5792152,42.0524631
Neuhemsbach,49.5234456,7.9229398
Nebra (Unstrut),51.2873083,11.5787877
Lubrza,52.3071516,15.4411776
Kalanchak,46.257184,33.2843632
Piotrków Trybunalski,51.4082625,19.696167
Neumünster,54.0703296,9.9884451
Wörthsee,48.0727454,11.2001725
Monheim am Rhein,51.0909476,6.8812387
Klasztorna,54.5021038,16.635539
Taraz,42.9015945,71.3769302
Troisdorf,50.8153071,7.1593271
Henstedt-Ulzburg,53.7926888,9.9808134
Bialystok,53.132398,23.1591679
Warburg,51.4886533,9.1488385
Stade,53.599794,9.475438
Großbreitenbach,50.5806039,11.004454
Bad Driburg,51.7366427,9.0175012
Sollstedt,51.4134885,10.5359288
Landshut,48.536217,12.1516551
Karstädt,53.2883824,11.4893222
Steinfurt,52.138683,7.3678356
Tatabanya,47.583845,18.3979855
Gerolstein,50.2234404,6.6618586
Astana,51.1159933,71.4677059
Schwanewede,53.2254676,8.5943316
Glendale,34.1469416,-118.2478471
Hückelhoven,51.0552368,6.2247322
Schwarzheide,51.4858276,13.8306977
Böhlen,51.2027284,12.3859676
Pleinfeld,49.1053751,10.98564
Hettenshausen,48.5003308,11.5049302
Bünde,52.2004727,8.5828944
Sankt Georgen im Schwarzwald,47.9808879,7.8208427
Lichtenfels,50.14568,11.06382
Fulda,50.5542328,9.6770448
Riesa,51.3038241,13.308828
Löbau,51.0947288,14.6692423
Waren,53.5156249,12.6850606
Hameln,52.1039941,9.3561569
Aichwald,48.7585422,9.3902034
Eppelheim,49.4025,8.63306
Bad Berleburg,51.0478493,8.3917759
Minsk,53.9024716,27.5618225
Oberding,48.3224133,11.8464367
Trossingen,48.07506,8.6362987
Stein,50.9732145,5.7606819
Nizhny Novgorod,56.2769292,43.9212981
Dörverden,52.847207,9.2299135
Bad Wörishofen,48.0059852,10.5921263
Langenselbold,50.1780814,9.04333
Alsfeld,50.7523545,9.268355
Helmstidde,52.2089226,11.0028882
Schwalbach,50.1490109,8.5357434
Alfeld,51.9869477,9.8253376
Forchheim,49.7187319,11.0595749
Altenkirchen,50.6880109,7.6477412
Alzenau in Unterfranken,,
Bühl,48.7253,7.0853
Bad Tölz,47.7610013,11.559607
Schkeuditz,51.3963509,12.2216292
Müllrose,52.2468189,14.4181081
Poing,48.1667467,11.803713
Wuppertal,51.264018,7.1780374
Tuttlingen,47.9844315,8.8186606
Willich,51.2641433,6.5446958
Semej,50.404377,80.2496637
Cuxhaven,53.86878,8.698286
Ravensburg,47.7811014,9.612468
Untersiemau,50.195613,10.9723133
Słubice,52.3557481,14.5662367
Pfalzgrafenweiler,48.5259787,8.5648793
Wetzlar,50.570561,8.531245
Reichenau,47.6956373,9.0592022
Scharbeutz,54.026634,10.7559481
Kirchheim,48.6102516,7.4966532
Güstrow,53.793587,12.1764906
Frechen,50.9096219,6.8081935
Vechta,52.7310691,8.2873162
Leuna,51.3233638,12.0195081
Coswig,51.1267305,13.5783983
Luckenwalde,52.0902045,13.1741882
Kisslegg,47.7911287,9.8828757
Ebern,50.0943461,10.7950972
Weilheim in Oberbayern,47.8427947,11.1520087
Engen,47.8532383,8.7704457
Koblenz,50.3533278,7.5943951
Lippstadt,51.6747074,8.347194
Konstanz,47.659216,9.1750718
